epoch,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.6097235519492834,,1,,,0
2,0.5764698020850841,,1,,,0
3,0.5686517154494034,,1,,,0
4,0.5631806266871698,,1,,,0
5,0.5599443173499946,,1,,,0
6,0.5560027755857722,,1,,,0
7,0.5514501299416378,,1,,,0
8,0.5477725124509183,,1,,,0
9,0.5442680496535994,,1,,,0
10,0.5421908717320045,,1,,,0
11,0.5391870727814783,,1,,,0
12,0.537136709573452,,1,,,0
13,0.5355118697331313,,1,,,0
14,0.5336863731010929,,1,,,0
15,0.5316347528323392,,1,,,0
