epoch,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.6128439729553705,0.0015338999633139985,25,0.5847282670368557,0.006057616007192258,25
2,0.5791033791443968,0.0013224892057019544,25,0.5757407077430485,0.005544151148243908,25
3,0.571231248286634,0.001351389739195494,25,0.570521502175686,0.005544064058411889,25
4,0.5656212475553961,0.0016364740527014512,25,0.5660428806643025,0.005166894993205615,25
5,0.5613031746826901,0.0015678886999200953,25,0.5632921623686803,0.00594360670296086,25
6,0.557465691380369,0.002067006653732589,25,0.5603369069929188,0.0055451081543838945,25
7,0.5536977510026998,0.0023508656847876556,25,0.5583461553482814,0.00558272035516008,25
8,0.5504471929372279,0.0024677368995616065,25,0.5561995904773611,0.005633474568391778,25
9,0.5470642801090666,0.0024272298438970576,25,0.5549904392917437,0.0056465255797981204,25
10,0.5444146581250345,0.002349402772617194,25,0.5536516222015129,0.005464206765155856,25
11,0.5419972977996437,0.002153872795602166,25,0.5521519457613758,0.00540404261011274,25
12,0.5395277090698252,0.0020669693804101,25,0.5520214527861601,0.005447599801484519,25
13,0.5374284900242395,0.001946819184035685,25,0.5514172596230964,0.005612228623613871,25
14,0.5353228926347504,0.0019589525418044255,25,0.5516487187614458,0.005763062291355671,25
15,0.5332806292825345,0.001769794329079017,25,0.5515340818941463,0.006039550503731327,25
16,0.5312956717084053,0.001824787413822574,25,0.5510374162907056,0.005770681620500246,25
