phase,repeat,fold,global_fold,epoch,train_loss,valid_loss,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,restore_best_weights,best_epoch_so_far,best_valid_loss_so_far,early_stop_triggered
cv,1,1,1,1,0.6147863176093192,0.5990127771067174,True,30,0.0,True,1,0.5990127771067174,False
cv,1,1,1,2,0.6022880239250767,0.5984840125812542,True,30,0.0,True,2,0.5984840125812542,False
cv,1,1,1,3,0.5971625691553384,0.5891844494856213,True,30,0.0,True,3,0.5891844494856213,False
cv,1,1,1,4,0.5864579131578329,0.5836636957400199,True,30,0.0,True,4,0.5836636957400199,False
cv,1,1,1,5,0.582265579458681,0.5812045475257416,True,30,0.0,True,5,0.5812045475257416,False
cv,1,1,1,6,0.5780698822771176,0.5856766558912534,True,30,0.0,True,5,0.5812045475257416,False
cv,1,1,1,7,0.5750890712431771,0.5785666589891665,True,30,0.0,True,7,0.5785666589891665,False
cv,1,1,1,8,0.5720727425450991,0.5835217180036396,True,30,0.0,True,7,0.5785666589891665,False
cv,1,1,1,9,0.5683752659573171,0.5738342213888553,True,30,0.0,True,9,0.5738342213888553,False
cv,1,1,1,10,0.5649363010737085,0.5735454219398011,True,30,0.0,True,10,0.5735454219398011,False
cv,1,1,1,11,0.5617565569880555,0.5678911115919243,True,30,0.0,True,11,0.5678911115919243,False
cv,1,1,1,12,0.5578722978927786,0.5674841693486201,True,30,0.0,True,12,0.5674841693486201,False
cv,1,1,1,13,0.5548243782970168,0.5648007460868933,True,30,0.0,True,13,0.5648007460868933,False
cv,1,1,1,14,0.5528366757596865,0.5619646469048695,True,30,0.0,True,14,0.5619646469048695,False
cv,1,1,1,15,0.5508029929025083,0.5621442533406771,True,30,0.0,True,14,0.5619646469048695,False
cv,1,1,1,16,0.5488129841453397,0.5632775292284018,True,30,0.0,True,14,0.5619646469048695,False
cv,1,1,1,17,0.5476884648890751,0.5625659602464359,True,30,0.0,True,14,0.5619646469048695,False
cv,1,1,1,18,0.5459964566386105,0.5585833160809243,True,30,0.0,True,18,0.5585833160809243,False
cv,1,1,1,19,0.5435965647269555,0.5568560409334908,True,30,0.0,True,19,0.5568560409334908,False
cv,1,1,1,20,0.54210233091209,0.5573120797043822,True,30,0.0,True,19,0.5568560409334908,False
cv,1,1,1,21,0.5406420071504566,0.5546382985635493,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,22,0.5405647655902058,0.5584860972715807,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,23,0.5378887621478647,0.5641186665761905,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,24,0.5373968919728823,0.5566249669711733,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,25,0.5355328641351045,0.5580359867306,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,26,0.5338000104994443,0.557884592984161,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,27,0.5324577911177074,0.5601458722394007,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,28,0.5313137276852578,0.5549276903667281,True,30,0.0,True,21,0.5546382985635493,False
cv,1,1,1,29,0.5301217788923132,0.5578161495625094,True,30,0.0,True,21,0.5546382985635493,False
cv,1,2,2,1,0.6141835325981989,0.6042477887640308,True,30,0.0,True,1,0.6042477887640308,False
cv,1,2,2,2,0.5974619826657975,0.5983984965607597,True,30,0.0,True,2,0.5983984965607597,False
cv,1,2,2,3,0.5888187532272526,0.5910848590711107,True,30,0.0,True,3,0.5910848590711107,False
cv,1,2,2,4,0.5820369977268179,0.5889604656042251,True,30,0.0,True,4,0.5889604656042251,False
cv,1,2,2,5,0.5806604508505179,0.5854948729774828,True,30,0.0,True,5,0.5854948729774828,False
cv,1,2,2,6,0.5757749690772128,0.5788968653805489,True,30,0.0,True,6,0.5788968653805489,False
cv,1,2,2,7,0.573638788878588,0.580452844749627,True,30,0.0,True,6,0.5788968653805489,False
cv,1,2,2,8,0.5690064395763571,0.5781052651775739,True,30,0.0,True,8,0.5781052651775739,False
cv,1,2,2,9,0.5658216355655848,0.5683085368680626,True,30,0.0,True,9,0.5683085368680626,False
cv,1,2,2,10,0.5618963163765062,0.5677205325345139,True,30,0.0,True,10,0.5677205325345139,False
cv,1,2,2,11,0.5605611301926505,0.5793763259636383,True,30,0.0,True,10,0.5677205325345139,False
cv,1,2,2,12,0.5579626304574297,0.5652436121140727,True,30,0.0,True,12,0.5652436121140727,False
cv,1,2,2,13,0.5553295347466378,0.5650010219131365,True,30,0.0,True,13,0.5650010219131365,False
cv,1,2,2,14,0.5534482630103662,0.5636618631427619,True,30,0.0,True,14,0.5636618631427619,False
cv,1,2,2,15,0.5517447704761835,0.5594531238489329,True,30,0.0,True,15,0.5594531238489329,False
cv,1,2,2,16,0.5495653339669099,0.558427297142989,True,30,0.0,True,16,0.558427297142989,False
cv,1,2,2,17,0.5477148702705866,0.5591616261321887,True,30,0.0,True,16,0.558427297142989,False
cv,1,2,2,18,0.5465373926244781,0.5712962835118717,True,30,0.0,True,16,0.558427297142989,False
cv,1,2,2,19,0.5455000862213608,0.5586619968494014,True,30,0.0,True,16,0.558427297142989,False
cv,1,2,2,20,0.5426318902506297,0.5566873094442437,True,30,0.0,True,20,0.5566873094442437,False
cv,1,2,2,21,0.5419465890528603,0.5620093762347128,True,30,0.0,True,20,0.5566873094442437,False
cv,1,2,2,22,0.5419060023745365,0.5560846971082359,True,30,0.0,True,22,0.5560846971082359,False
cv,1,2,2,23,0.5379058980362944,0.5609774547340596,True,30,0.0,True,22,0.5560846971082359,False
cv,1,2,2,24,0.5371002224448567,0.5589455266500527,True,30,0.0,True,22,0.5560846971082359,False
cv,1,2,2,25,0.5349481930927623,0.5597578982219115,True,30,0.0,True,22,0.5560846971082359,False
cv,1,2,2,26,0.5337736046746528,0.5584590541695189,True,30,0.0,True,22,0.5560846971082359,False
cv,1,2,2,27,0.531775806495289,0.5598349826760232,True,30,0.0,True,22,0.5560846971082359,False
cv,1,2,2,28,0.5303647368615144,0.5566469896273393,True,30,0.0,True,22,0.5560846971082359,False
cv,1,2,2,29,0.5287915856543683,0.5612136700512034,True,30,0.0,True,22,0.5560846971082359,False
cv,1,3,3,1,0.6160337059479224,0.6035374568169376,True,30,0.0,True,1,0.6035374568169376,False
cv,1,3,3,2,0.6000948221665479,0.5963996779370548,True,30,0.0,True,2,0.5963996779370548,False
cv,1,3,3,3,0.5933231366383305,0.591873190078801,True,30,0.0,True,3,0.591873190078801,False
cv,1,3,3,4,0.5869938307063141,0.5896127711123261,True,30,0.0,True,4,0.5896127711123261,False
cv,1,3,3,5,0.5838802050382208,0.5766830280851843,True,30,0.0,True,5,0.5766830280851843,False
cv,1,3,3,6,0.580030002176604,0.5770421391671314,True,30,0.0,True,5,0.5766830280851843,False
cv,1,3,3,7,0.577160354644824,0.5725143102629928,True,30,0.0,True,7,0.5725143102629928,False
cv,1,3,3,8,0.5727072116174136,0.5680725740542246,True,30,0.0,True,8,0.5680725740542246,False
cv,1,3,3,9,0.5671473471953239,0.5661730975579476,True,30,0.0,True,9,0.5661730975579476,False
cv,1,3,3,10,0.5644704730104385,0.565148465428799,True,30,0.0,True,10,0.565148465428799,False
cv,1,3,3,11,0.5631461097446674,0.5611456218444659,True,30,0.0,True,11,0.5611456218444659,False
cv,1,3,3,12,0.5594932024315239,0.5655030291467971,True,30,0.0,True,11,0.5611456218444659,False
cv,1,3,3,13,0.5574907848188941,0.5595054367865395,True,30,0.0,True,13,0.5595054367865395,False
cv,1,3,3,14,0.5548052436878609,0.5590761999020507,True,30,0.0,True,14,0.5590761999020507,False
cv,1,3,3,15,0.5532414391714693,0.5606677264070405,True,30,0.0,True,14,0.5590761999020507,False
cv,1,3,3,16,0.5528367989204371,0.5538330541244443,True,30,0.0,True,16,0.5538330541244443,False
cv,1,3,3,17,0.5501521367555201,0.5586051362165222,True,30,0.0,True,16,0.5538330541244443,False
cv,1,3,3,18,0.5486683513263779,0.5532419870240934,True,30,0.0,True,18,0.5532419870240934,False
cv,1,3,3,19,0.5471472862012838,0.549964931473147,True,30,0.0,True,19,0.549964931473147,False
cv,1,3,3,20,0.5469306979561239,0.5506590549530196,True,30,0.0,True,19,0.549964931473147,False
cv,1,3,3,21,0.5441767985251795,0.5491954539166289,True,30,0.0,True,21,0.5491954539166289,False
cv,1,3,3,22,0.5436810167682288,0.5499867330187804,True,30,0.0,True,21,0.5491954539166289,False
cv,1,3,3,23,0.541884306565712,0.5490899072222197,True,30,0.0,True,23,0.5490899072222197,False
cv,1,3,3,24,0.5399997956113468,0.5511165426291557,True,30,0.0,True,23,0.5490899072222197,False
cv,1,3,3,25,0.5389349357096844,0.5493232212431284,True,30,0.0,True,23,0.5490899072222197,False
cv,1,3,3,26,0.5376232861996313,0.5506235396126316,True,30,0.0,True,23,0.5490899072222197,False
cv,1,3,3,27,0.5362581005182009,0.5515711130997987,True,30,0.0,True,23,0.5490899072222197,False
cv,1,3,3,28,0.5358053131509696,0.5488455866914373,True,30,0.0,True,28,0.5488455866914373,False
cv,1,3,3,29,0.533846400109897,0.5474890662787264,True,30,0.0,True,29,0.5474890662787264,False
cv,1,4,4,1,0.6120295382674369,0.6109118956849052,True,30,0.0,True,1,0.6109118956849052,False
cv,1,4,4,2,0.5989707836067303,0.6062009925921993,True,30,0.0,True,2,0.6062009925921993,False
cv,1,4,4,3,0.5938665539191117,0.6015195531244943,True,30,0.0,True,3,0.6015195531244943,False
cv,1,4,4,4,0.5871362783898586,0.5939454125092093,True,30,0.0,True,4,0.5939454125092093,False
cv,1,4,4,5,0.5819406387918774,0.588343847524686,True,30,0.0,True,5,0.588343847524686,False
cv,1,4,4,6,0.5782793652886764,0.5843569301105414,True,30,0.0,True,6,0.5843569301105414,False
cv,1,4,4,7,0.576312850689551,0.5844481352976759,True,30,0.0,True,6,0.5843569301105414,False
cv,1,4,4,8,0.5724030777729576,0.5775053856881553,True,30,0.0,True,8,0.5775053856881553,False
cv,1,4,4,9,0.5672151809978426,0.5758025773975819,True,30,0.0,True,9,0.5758025773975819,False
cv,1,4,4,10,0.5650126523779592,0.5721305110578809,True,30,0.0,True,10,0.5721305110578809,False
cv,1,4,4,11,0.5616304826868335,0.5656743390135825,True,30,0.0,True,11,0.5656743390135825,False
cv,1,4,4,12,0.5587844452758325,0.5646895146182388,True,30,0.0,True,12,0.5646895146182388,False
cv,1,4,4,13,0.5564732027478796,0.5662619700708454,True,30,0.0,True,12,0.5646895146182388,False
cv,1,4,4,14,0.5545904384263103,0.565123043873786,True,30,0.0,True,12,0.5646895146182388,False
cv,1,4,4,15,0.5530325222359747,0.5610927350401527,True,30,0.0,True,15,0.5610927350401527,False
cv,1,4,4,16,0.5508724407543049,0.562874509169992,True,30,0.0,True,15,0.5610927350401527,False
cv,1,4,4,17,0.5494172923683607,0.5603032802527399,True,30,0.0,True,17,0.5603032802527399,False
cv,1,4,4,18,0.5477759577924661,0.5598234032576532,True,30,0.0,True,18,0.5598234032576532,False
cv,1,4,4,19,0.5467939004622578,0.5567230279818397,True,30,0.0,True,19,0.5567230279818397,False
cv,1,4,4,20,0.5438694019953605,0.5554817062798034,True,30,0.0,True,20,0.5554817062798034,False
cv,1,4,4,21,0.5427704879456527,0.5570729862506645,True,30,0.0,True,20,0.5554817062798034,False
cv,1,4,4,22,0.542322538572363,0.558445638201347,True,30,0.0,True,20,0.5554817062798034,False
cv,1,4,4,23,0.5382669483508958,0.5602881623580392,True,30,0.0,True,20,0.5554817062798034,False
cv,1,4,4,24,0.5370853548556951,0.5561723526834621,True,30,0.0,True,20,0.5554817062798034,False
cv,1,4,4,25,0.5358809863121581,0.5646857057231952,True,30,0.0,True,20,0.5554817062798034,False
cv,1,4,4,26,0.5341310458236043,0.5524897549004681,True,30,0.0,True,26,0.5524897549004681,False
cv,1,4,4,27,0.5321768669094421,0.5548518448335465,True,30,0.0,True,26,0.5524897549004681,False
cv,1,4,4,28,0.53190695850411,0.5535335428243542,True,30,0.0,True,26,0.5524897549004681,False
cv,1,4,4,29,0.5293023756074994,0.5526782909560227,True,30,0.0,True,26,0.5524897549004681,False
cv,1,5,5,1,0.6162317830916519,0.5965614714550977,True,30,0.0,True,1,0.5965614714550977,False
cv,1,5,5,2,0.6010691869508714,0.5877010792984786,True,30,0.0,True,2,0.5877010792984786,False
cv,1,5,5,3,0.5928942035437437,0.5803396806747403,True,30,0.0,True,3,0.5803396806747403,False
cv,1,5,5,4,0.5872842227150274,0.5765216876547724,True,30,0.0,True,4,0.5765216876547724,False
cv,1,5,5,5,0.5846534325438957,0.5763985677758511,True,30,0.0,True,5,0.5763985677758511,False
cv,1,5,5,6,0.5805119309418907,0.5686002902032586,True,30,0.0,True,6,0.5686002902032586,False
cv,1,5,5,7,0.5753204807850675,0.5691261684569205,True,30,0.0,True,6,0.5686002902032586,False
cv,1,5,5,8,0.5717411102087934,0.5680570142375242,True,30,0.0,True,8,0.5680570142375242,False
cv,1,5,5,9,0.5686443518364366,0.5603987684201808,True,30,0.0,True,9,0.5603987684201808,False
cv,1,5,5,10,0.5653282093485985,0.5592279162341264,True,30,0.0,True,10,0.5592279162341264,False
cv,1,5,5,11,0.5642117627075401,0.559741429374527,True,30,0.0,True,10,0.5592279162341264,False
cv,1,5,5,12,0.5613427043994156,0.5546574653118285,True,30,0.0,True,12,0.5546574653118285,False
cv,1,5,5,13,0.5580544173625918,0.5558539790048451,True,30,0.0,True,12,0.5546574653118285,False
cv,1,5,5,14,0.556547916783191,0.5528329820400789,True,30,0.0,True,14,0.5528329820400789,False
cv,1,5,5,15,0.5542525605734562,0.551755639649094,True,30,0.0,True,15,0.551755639649094,False
cv,1,5,5,16,0.5521264713307692,0.5530665593062861,True,30,0.0,True,15,0.551755639649094,False
cv,1,5,5,17,0.5509703181421637,0.5509711043354566,True,30,0.0,True,17,0.5509711043354566,False
cv,1,5,5,18,0.5487594560643155,0.5499276889756941,True,30,0.0,True,18,0.5499276889756941,False
cv,1,5,5,19,0.5465897686413632,0.5501981627334387,True,30,0.0,True,18,0.5499276889756941,False
cv,1,5,5,20,0.5460926664167907,0.5471867855362555,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,21,0.5427582906516181,0.550656595378418,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,22,0.5421152539328258,0.5503867831926601,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,23,0.5406592662329607,0.5544251224641165,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,24,0.5394665870627088,0.5491756881253561,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,25,0.5380827638301564,0.5505632846953976,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,26,0.5350768451288889,0.5514200124454521,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,27,0.5344867490130794,0.5482396742094052,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,28,0.5327557626133816,0.5541462493611109,True,30,0.0,True,20,0.5471867855362555,False
cv,1,5,5,29,0.5320090286946093,0.5505854708426762,True,30,0.0,True,20,0.5471867855362555,False
cv,2,1,6,1,0.615837216882817,0.5987501688294237,True,30,0.0,True,1,0.5987501688294237,False
cv,2,1,6,2,0.6026129301369519,0.5956761180592615,True,30,0.0,True,2,0.5956761180592615,False
