epoch,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.6141130670138119,0.0018392919524658643,25,0.6025354151718427,0.005630316503233446,25
2,0.5997410155610798,0.001595399830703893,25,0.5974853694684455,0.005543581846638935,25
3,0.5922214107109367,0.0025075991650768065,25,0.5908398683045482,0.006953687699978136,25
4,0.5855138269681706,0.001836749635693117,25,0.5849711695473563,0.006336507271965093,25
5,0.581838497636453,0.0017150041025467211,25,0.5810308520991625,0.005542230756407745,25
6,0.5785846889034452,0.0020159506976582227,25,0.5792452402377652,0.005980835458702679,25
7,0.5750363859382847,0.0020575565536608952,25,0.5767365892589988,0.0063917995592217705,25
8,0.5716821467666567,0.002081441683396499,25,0.5744619431195247,0.005903494501684332,25
9,0.567567633742883,0.002186822744470028,25,0.5703059227361448,0.0068322519132072304,25
10,0.5643595942864051,0.0020514018454653653,25,0.5680088606502003,0.005463139246625435,25
11,0.5613881814374877,0.002053682233645551,25,0.5651971530705127,0.006080678967053796,25
12,0.558802520523563,0.0019681932591786985,25,0.5636652158532272,0.005971155842928575,25
13,0.556606155050224,0.0018948573179368325,25,0.5632902344061436,0.005481818766382453,25
14,0.5544294980018796,0.0018704896673025688,25,0.5618915934979091,0.005797996857925804,25
15,0.5524431825138038,0.0017730582446407442,25,0.5601206074125717,0.006057239553133527,25
16,0.5507694672484544,0.0017442643171386772,25,0.5593652316756179,0.0059802872167372964,25
17,0.5491428587887486,0.0018248719139875528,25,0.5582441288282548,0.006126022634292326,25
18,0.5475187229750857,0.0018115174373337785,25,0.5578569267012843,0.006400459398556189,25
19,0.5458487414240072,0.0019648227822933887,25,0.5564600988293376,0.006032337107504183,25
20,0.5441310216365866,0.0019502174095663441,25,0.5556430507684036,0.00614300183717973,25
21,0.5425506675983036,0.0018565690411695963,25,0.5553069925314156,0.006211899730389639,25
22,0.5411647391008583,0.001901795122873514,25,0.5559189475965725,0.005804149003417454,25
23,0.5394161209614465,0.001701612491931097,25,0.5559244104343439,0.006634024383677578,25
24,0.538342843292528,0.0017894281629903008,25,0.5547192229626892,0.005353684691307415,25
25,0.5365452663883753,0.0018719446912686714,25,0.5552364080750666,0.006354303928692528,25
26,0.5350246258365511,0.0019075957838294506,25,0.5548778275141485,0.00641226775504087,25
27,0.5337045862206944,0.001898211485966153,25,0.5555874658444416,0.006246080949789141,25
28,0.5323177746746202,0.0021115219408002627,25,0.5552251002882904,0.006967519998805565,25
29,0.5308056044167377,0.0022075011593642576,25,0.5543969353330404,0.0066706598958754856,25
