epoch,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.6115742156446736,,1,,,0
2,0.5978657319454542,,1,,,0
3,0.5880310329695533,,1,,,0
4,0.5825934962239726,,1,,,0
5,0.5789743365176085,,1,,,0
6,0.5743366301686893,,1,,,0
7,0.5698711904690251,,1,,,0
8,0.5651814051522701,,1,,,0
9,0.5610278112098922,,1,,,0
10,0.5592488558000022,,1,,,0
11,0.5558779550016026,,1,,,0
12,0.5543237201336833,,1,,,0
13,0.5530437050239446,,1,,,0
14,0.5505590237268997,,1,,,0
15,0.5486648537842078,,1,,,0
16,0.5463758944199024,,1,,,0
17,0.5453481487449918,,1,,,0
18,0.5438608192145525,,1,,,0
19,0.5410930475884804,,1,,,0
20,0.540547858978258,,1,,,0
21,0.5384494990816697,,1,,,0
22,0.5367343940528776,,1,,,0
23,0.5362401008312887,,1,,,0
24,0.5346739312308014,,1,,,0
25,0.5330009195337794,,1,,,0
26,0.5321466113035981,,1,,,0
