repeat,fold,global_fold,iteration,train_loss,valid_loss
1,1,1,1,0.6826433471741973,0.6828338243822727
1,1,1,2,0.6731442242381934,0.6735913226564726
1,1,1,3,0.6645143938315394,0.6651995180937033
1,1,1,4,0.6565856397938488,0.6575894270360466
1,1,1,5,0.6493572000257853,0.6505115555454984
1,1,1,6,0.6426715916762913,0.6440153708494325
1,1,1,7,0.6364210469775369,0.6380888174898554
1,1,1,8,0.6307370913517407,0.632648647932395
1,1,1,9,0.6254370773735222,0.627649914381822
1,1,1,10,0.6204715512959708,0.622943924317677
1,1,1,11,0.6158771119452797,0.6185580540106047
1,1,1,12,0.611532669091318,0.6144996619811681
1,1,1,13,0.6076074154460337,0.6107661510638284
1,1,1,14,0.6038445119559829,0.6072041187002235
1,1,1,15,0.6003798356897159,0.6039638645934128
1,1,1,16,0.5970060556820609,0.6006291270208738
1,1,1,17,0.5938315438803179,0.597632190153617
1,1,1,18,0.5908212257243634,0.5947449202515406
1,1,1,19,0.5881034437479781,0.5922493655300389
1,1,1,20,0.5854393519747232,0.5896930376059328
1,1,1,21,0.5829657323801651,0.5872983200393472
1,1,1,22,0.5805403088484177,0.5851855408378775
1,1,1,23,0.5783021135771077,0.5831506254531444
1,1,1,24,0.5760819779777315,0.5812320842444787
1,1,1,25,0.5739493726408378,0.5792477527548541
1,1,1,26,0.5719701858139267,0.5776415051571671
1,1,1,27,0.5699661822015336,0.5758582423003585
1,1,1,28,0.5681834639544588,0.5744382533381795
1,1,1,29,0.5664256607192909,0.5727363767524098
1,1,1,30,0.5647543564648475,0.5713926140529448
1,1,1,31,0.5631865843421582,0.5700125247205188
1,1,1,32,0.5617472607045605,0.5688976773935042
1,1,1,33,0.5603605438915913,0.5677433974592283
1,1,1,34,0.5589942970997683,0.5664185943501351
1,1,1,35,0.557723189353512,0.565392674893191
1,1,1,36,0.5563985095328029,0.5643043126754497
1,1,1,37,0.5551255415572921,0.5632611282151048
1,1,1,38,0.5539156427281842,0.5621292050183038
1,1,1,39,0.552769143081587,0.5612388696972358
1,1,1,40,0.5516665227269503,0.5604673095292264
1,1,1,41,0.5506190283887717,0.5597504810903995
1,1,1,42,0.5494665245397867,0.5588519192381888
1,1,1,43,0.548493071497677,0.5581364500116432
1,1,1,44,0.5475859794079068,0.5574278137159071
1,1,1,45,0.5467053495424383,0.5567328272667107
1,1,1,46,0.54576057686404,0.5559901751165852
1,1,1,47,0.5449577080040967,0.5554837202250275
1,1,1,48,0.5441355460871388,0.5550468455859644
1,1,1,49,0.5433583741550102,0.5545159351816885
1,1,1,50,0.5424745618610712,0.553781592862668
1,1,1,51,0.5417767876573554,0.5534213892890477
1,1,1,52,0.5410096687758386,0.5531385609476657
1,1,1,53,0.540219195019727,0.5524390499295486
1,1,1,54,0.5395912358137528,0.5518724937783671
1,1,1,55,0.5388666598724713,0.5514396663857668
1,1,1,56,0.5381754843826161,0.5509246361774642
1,1,1,57,0.5375674046126951,0.5505079076350743
1,1,1,58,0.5369809819138498,0.5501730130843432
1,1,1,59,0.5363645487629166,0.5497974619536456
1,1,1,60,0.5357974618676634,0.5495272483028069
1,1,1,61,0.5352003457282005,0.5490975246639872
1,1,1,62,0.5346634742738503,0.5488464039623469
1,1,1,63,0.5340718615512066,0.5484703076165353
1,1,1,64,0.5334940497736138,0.547987653858307
1,1,1,65,0.5330102284328521,0.5477021979343429
1,1,1,66,0.5324929444853537,0.547565874580484
1,1,1,67,0.5319485613134487,0.5472515042711523
1,1,1,68,0.5315735872293934,0.5470975409255959
1,1,1,69,0.5310758207533305,0.5468983852997307
1,1,1,70,0.5305613601680159,0.546651175980067
1,1,1,71,0.5301531480512242,0.5464024668220835
1,1,1,72,0.5296661811955975,0.5460837520243345
1,1,1,73,0.5291982168523521,0.545815956643271
1,1,1,74,0.5288151522013558,0.545699160497986
1,1,1,75,0.5283644173646352,0.5453960948843252
1,1,1,76,0.5279602090457508,0.5452928312668086
1,1,1,77,0.5275336953993535,0.5451548412347522
1,1,1,78,0.5271522470533618,0.5451435622938376
1,1,1,79,0.526806093675735,0.5449796843083592
1,1,1,80,0.5264093797513039,0.5448708436286661
1,1,1,81,0.525998906156774,0.5446921847815778
1,1,1,82,0.5256352548029336,0.544510033949698
1,1,1,83,0.5251872339577871,0.5441428575695862
1,1,1,84,0.524804331730276,0.5441462260857518
1,1,1,85,0.5244090738614305,0.5439472861581199
