epoch,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.6098972246445015,,1,,,0
2,0.578129658769138,,1,,,0
3,0.5695160689613251,,1,,,0
4,0.5646312431443206,,1,,,0
5,0.5622772785259543,,1,,,0
6,0.5589986738993105,,1,,,0
7,0.5552883115076411,,1,,,0
8,0.5515989671063899,,1,,,0
9,0.5480179134952318,,1,,,0
10,0.5461647631273543,,1,,,0
11,0.5430956765172615,,1,,,0
12,0.5416021959533592,,1,,,0
13,0.5400379169173667,,1,,,0
14,0.5383308033334059,,1,,,0
15,0.536525987602286,,1,,,0
16,0.533848434625116,,1,,,0
17,0.53286933170646,,1,,,0
