epoch,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.609766046508921,0.0020416183282675783,25,0.5867216723912212,0.005948497990257979,25
2,0.5810539383590552,0.0013628111494207054,25,0.5769141558710494,0.0056393528471936445,25
3,0.5724597274278538,0.0013896395149796646,25,0.5713361358519545,0.005159791708742977,25
4,0.5673798569827082,0.001481876915358468,25,0.5678174155280574,0.005232842710536501,25
5,0.5639498280378245,0.0013244770525392927,25,0.5657193466140364,0.005955660783078723,25
6,0.5608415444026956,0.0014980642678218174,25,0.5633306736977137,0.005701062745948466,25
7,0.5578795280729605,0.0013868005559542758,25,0.5621287255309434,0.005857512790119404,25
8,0.5551974377316612,0.001523751039592331,25,0.5600502561661941,0.006193093015559916,25
9,0.551994815243473,0.0016619377473900679,25,0.5586927998229766,0.006267739375821763,25
10,0.5493950055358807,0.0018147110164829117,25,0.5569073823907812,0.006275392251434771,25
11,0.5467364043760576,0.0018235838103461326,25,0.555404080416158,0.006266156985143357,25
12,0.5441272222022668,0.0018357909160685957,25,0.554706125358172,0.005622227689818613,25
13,0.5419347140335603,0.0017000662454999054,25,0.5536860301459638,0.005950287753630526,25
14,0.5398802457579142,0.00177851121238579,25,0.55361231714985,0.005992810625689895,25
15,0.5379233239173654,0.0016879989182134057,25,0.5534051890438867,0.006233039251523302,25
16,0.5361089542370039,0.001786010218225212,25,0.5526546312888876,0.005895324042101348,25
17,0.5342664540659127,0.0018087789533135683,25,0.5532734475448327,0.006695327607378248,25
18,0.5324502863434417,0.0019382642344596215,25,0.5530501710971848,0.006274879685174145,25
