repeat,fold,global_fold,n_train,n_valid,fit_seconds,predict_seconds,explain_seconds,fold_total_seconds,fold_rss_avg_mb,fold_rss_peak_mb,fold_rss_min_mb,fold_rss_last_mb,n_loss_iterations,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,train_loss_at_best_valid,best_loss_iteration,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn
1,1,1,16270,4068,1.6372630596160889,0.005860328674316406,7.50993537902832,9.153058767318726,491.0906504755435,506.81640625,368.03515625,506.81640625,223,0.49911511208938075,0.5423972506918189,0.49911511208938075,0.5416146714088698,0.5037169848468663,199,0.6875614552605703,0.7754512635379062,0.528023598820059,0.8470993117010817,0.6282538754021644,0.3958123264229629,0.8022326769766195,0.7571837996923491,1074,1723,311,960
1,2,2,16270,4068,7.050689697265625,0.006863594055175781,4.351477384567261,11.409030675888062,504.88461821933964,508.16015625,503.02734375,508.16015625,223,0.4961660277522433,0.5447834793960654,0.4961660277522433,0.5447834793960654,0.4961660277522433,223,0.6910029498525073,0.7888475836431227,0.5216322517207473,0.8603736479842674,0.6279964486534477,0.40600936952975186,0.8013865180543058,0.7594028361512111,1061,1750,284,973
1,3,3,16271,4067,4.09209942817688,0.007201194763183594,3.8914711475372314,7.990771770477295,506.1453125,508.42578125,504.44140625,508.42578125,223,0.49922312042703054,0.5373583242529456,0.49922312042703054,0.5373583242529456,0.49922312042703054,223,0.6997787066633883,0.7860661505981703,0.5491642084562438,0.8504672897196262,0.6465991316931983,0.4190944560700809,0.8083873744025554,0.7642431106022991,1117,1729,304,917
1,4,4,16270,4068,3.9126546382904053,0.007867574691772461,4.484589576721191,8.40511178970337,506.37779017857144,508.45703125,504.66015625,508.45703125,223,0.4970771761792074,0.5469563666559689,0.4970771761792074,0.5464188781995004,0.4988832518347581,212,0.6905113077679449,0.7789776817854571,0.5319567354965585,0.8490658800393314,0.6321939818872334,0.4017577126971313,0.800976915095408,0.7552875695284393,1082,1727,307,952
1,5,5,16271,4067,4.7531657218933105,0.007175922393798828,8.416855335235596,13.177196979522705,507.2060066598361,509.140625,504.7265625,509.140625,223,0.5004924926221708,0.5353267116632666,0.5004924926221708,0.5353074483589028,0.5011740050156283,221,0.70813867715761,0.8021428571428572,0.5523856369896705,0.8638151425762045,0.6542382755607341,0.43799739472374233,0.8132618110764445,0.7669379524957184,1123,1757,277,910
2,1,6,16270,4068,4.938952922821045,0.007333040237426758,4.6151087284088135,9.561394691467285,507.42138671875,510.0390625,505.46875,510.0390625,223,0.49966204480173826,0.537356687255617,0.49966204480173826,0.5371416547246785,0.5016329271773091,213,0.6991150442477876,0.7888730385164051,0.543756145526057,0.8544739429695182,0.6437718277066357,0.4189680828682916,0.8097056545824408,0.7626619590849367,1106,1738,296,928
2,2,7,16270,4068,3.7305281162261963,0.006572723388671875,4.61761999130249,8.354720830917358,508.296875,510.40234375,506.34765625,510.40234375,223,0.4978848631818835,0.5447578437731984,0.4978848631818835,0.5447578437731984,0.4978848631818835,223,0.6890363815142576,0.7820983125458547,0.5240904621435595,0.8539823008849557,0.6276125993523698,0.4004928593452267,0.8013668523830344,0.7592923737949452,1066,1737,297,968
2,3,8,16271,4067,4.690208196640015,0.00743412971496582,4.6491687297821045,9.346811056137085,508.48083212209303,510.51171875,506.71484375,510.51171875,223,0.49966859095996313,0.5407688027285372,0.49966859095996313,0.5407688027285372,0.49966859095996313,223,0.6874846324071797,0.7734767025089606,0.5304818092428711,0.8445646827348746,0.6293379994167396,0.39502441675308214,0.8029694766723494,0.760163182609848,1079,1717,316,955
2,4,9,16270,4068,3.9676554203033447,0.007456779479980469,4.387129306793213,8.362241506576538,508.54575892857144,510.625,506.828125,510.625,223,0.49793527362762585,0.5436042258646342,0.49793527362762585,0.5435635871093015,0.5002676675626447,210,0.6966568338249755,0.7954209748892171,0.5294985250737463,0.8638151425762045,0.6357733175914995,0.4173262790926918,0.8058425347655009,0.761221235070662,1077,1757,277,957
2,5,10,16271,4067,3.6067421436309814,0.006767749786376953,4.455988168716431,8.069498062133789,508.7928240740741,510.9453125,506.890625,510.9453125,223,0.49621701941488766,0.5419712943548463,0.49621701941488766,0.541323770432393,0.5092500010398511,171,0.689451684288173,0.7843426883308715,0.5223807181505165,0.856440511307768,0.6271036315323295,0.4019242812469304,0.8026771070351333,0.7562797421696386,1062,1742,292,971
