repeat,fold,global_fold,iteration,train_loss,valid_loss
1,1,1,1,0.6794751570388885,0.6795796562964234
1,1,1,2,0.6675930789664397,0.6678059938617394
1,1,1,3,0.6571953971472414,0.6575178290802469
1,1,1,4,0.6480181664723008,0.6482763044177138
1,1,1,5,0.6398994057070059,0.6401222806090567
1,1,1,6,0.6325351486359188,0.6327196125420966
1,1,1,7,0.6259210989236392,0.6262044909473365
1,1,1,8,0.6200231969631297,0.620275335970647
1,1,1,9,0.6146730199263882,0.6149652009516691
1,1,1,10,0.6098378459441567,0.610241186851773
1,1,1,11,0.6055683283239475,0.6058908929295597
1,1,1,12,0.6016363860861832,0.6021473396353373
1,1,1,13,0.598093364212362,0.5986672058269279
1,1,1,14,0.5947934807363506,0.5953023853687058
1,1,1,15,0.5917489074340024,0.5922634605329297
1,1,1,16,0.5889537120889358,0.5895767272280615
1,1,1,17,0.586502149890703,0.587120807104201
1,1,1,18,0.5841968491316282,0.5848361038609299
1,1,1,19,0.5820943093136841,0.5827155306444466
1,1,1,20,0.5802097631630974,0.5808141402123659
1,1,1,21,0.5784790400711026,0.5791206556054578
1,1,1,22,0.576885992443829,0.5774858846597468
1,1,1,23,0.5754203495991399,0.5759573168228421
1,1,1,24,0.5739725862616546,0.5745549324896249
1,1,1,25,0.5727074181426319,0.5732334412656351
1,1,1,26,0.5715380414926573,0.5720585825685467
1,1,1,27,0.5704513295930848,0.5709453045684504
1,1,1,28,0.5693218868324269,0.5698790779958168
1,1,1,29,0.5682250751570536,0.5688153583109525
1,1,1,30,0.5672551559905974,0.5678261085582811
1,1,1,31,0.5660845281104039,0.5667485903679313
1,1,1,32,0.5651962406649389,0.5660030592403273
1,1,1,33,0.5643536353990958,0.5652157360057812
1,1,1,34,0.563532231141342,0.5645358815565779
1,1,1,35,0.5627879545264308,0.5637962416559824
1,1,1,36,0.5620140409441671,0.5632223094590997
1,1,1,37,0.5613360993133671,0.5625854410183494
1,1,1,38,0.5606299484440554,0.5619455948169824
1,1,1,39,0.5600136881624362,0.5613719469958306
1,1,1,40,0.5593800888541621,0.560986131822531
1,1,1,41,0.5587402188307855,0.5603931501705562
1,1,1,42,0.5580137819703154,0.5598190324605353
1,1,1,43,0.5574837997309593,0.5593824463579602
1,1,1,44,0.5568452866304925,0.5588223233383108
1,1,1,45,0.5563214446167841,0.5583624522166918
1,1,1,46,0.5556906894791571,0.5579330277521137
1,1,1,47,0.5551382557283481,0.5576216801767482
1,1,1,48,0.5547070594435786,0.5572308039195624
1,1,1,49,0.5540423031837967,0.5567967247308553
1,1,1,50,0.5532182838243432,0.5562460436128563
1,1,1,51,0.5528427347753795,0.5558719645875195
1,1,1,52,0.5524803063480187,0.5555504039868588
1,1,1,53,0.5517614201335185,0.5549370036254414
1,1,1,54,0.5511922859790556,0.5545176047870235
1,1,1,55,0.5506907333525444,0.5541655048439527
1,1,1,56,0.5499281051412417,0.5536875948971531
1,1,1,57,0.5494044055679691,0.5534688753637713
1,1,1,58,0.5490084386211445,0.553293602750339
1,1,1,59,0.548568121972365,0.5530951266289637
1,1,1,60,0.5479730669465134,0.552662132143967
1,1,1,61,0.5475244089594705,0.5523663332416596
1,1,1,62,0.546990183233063,0.552189270913557
1,1,1,63,0.5464431306244502,0.5518161750348438
1,1,1,64,0.5458233456022021,0.551496567886603
1,1,1,65,0.5454236809939338,0.5514054263230174
1,1,1,66,0.5450141139213424,0.5510915708232482
1,1,1,67,0.5446794851555717,0.5509712916822699
1,1,1,68,0.5442606868103007,0.550849461306098
1,1,1,69,0.5439358830144291,0.550547366780174
1,1,1,70,0.5434865265386608,0.550372495016975
1,1,1,71,0.5431902219035211,0.5502521230978502
1,1,1,72,0.5426860021005117,0.5498090001027354
1,1,1,73,0.5421814738083762,0.5494315343352759
1,1,1,74,0.5417737299295059,0.5492250455062399
1,1,1,75,0.541414304902006,0.5489752035300822
1,1,1,76,0.5410627334266752,0.5487635047050219
1,1,1,77,0.5406903727924578,0.5485391779395229
1,1,1,78,0.540465699139749,0.5484712341564639
1,1,1,79,0.5400215339671607,0.5485024568815958
1,1,1,80,0.5395256914646744,0.5484450599649141
1,1,1,81,0.5391624904933604,0.5482941159345265
1,1,1,82,0.5387759364498639,0.548043265079695
1,1,1,83,0.5385346692347969,0.5480000882824407
1,1,1,84,0.5382611263422373,0.547875300034443
1,1,1,85,0.5376592336253011,0.547647098561812
1,1,1,86,0.5372694392272783,0.5474668426683902
1,1,1,87,0.5369381213779364,0.5474138249612928
1,1,1,88,0.5364527947261152,0.5472190462806259
1,1,1,89,0.5361097926959054,0.5470291705803056
1,1,1,90,0.5355983772835555,0.546917538990015
1,1,1,91,0.5350998348583506,0.5467370589100733
1,1,1,92,0.5349314724488344,0.5466923807555525
1,1,1,93,0.5346309127307042,0.5466302953714689
1,1,1,94,0.5343113509710585,0.5465723619833367
1,1,1,95,0.5340211962183139,0.5464907023790322
1,1,1,96,0.5336542632981207,0.54628896009837
1,1,1,97,0.533465217774753,0.5461899184651432
1,1,1,98,0.5332023778816216,0.5461736086418821
1,1,1,99,0.5326679604301302,0.5460946388615798
1,1,1,100,0.5322872004759359,0.5460540473534784
1,1,1,101,0.5316987839658011,0.5459412785329729
1,1,1,102,0.5312305693430142,0.5458508828251696
1,1,1,103,0.5309911547446355,0.545674940178001
1,1,1,104,0.5307063228910724,0.5456376847782684
1,1,1,105,0.5302540108475439,0.5454469301085999
1,1,1,106,0.5299524201803416,0.5453726940101026
1,1,1,107,0.529628636863329,0.5452912045941384
1,1,1,108,0.5291141613278743,0.5451954155295682
1,1,1,109,0.5289171815080977,0.5451403465896513
1,1,1,110,0.5286173262320629,0.544967329835781
1,1,1,111,0.52848967275802,0.544980483161257
1,1,1,112,0.5282286960679442,0.5448291708426711
1,1,1,113,0.5277113432586733,0.544814539367801
1,1,1,114,0.5271533906366737,0.5449139872026314
