iteration,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.6795420024189204,0.00015674013562236823,25,0.6796817253492684,0.0004374106295658742,25
2,0.6677060083393844,0.0002921935826724428,25,0.6679759220280843,0.0008304504701470757,25
3,0.6572751660463945,0.00041987065478746115,25,0.6576692815443578,0.0011515333769960916,25
4,0.6480319660108141,0.0005149700364057977,25,0.6485768074483198,0.0014517446456865112,25
5,0.6398152855307756,0.0006134663620530183,25,0.6404947923075239,0.0017155518898094692,25
6,0.6324360224441432,0.0006974047665682943,25,0.6332532444992659,0.0019919915377939732,25
7,0.6258289390814485,0.0007549527568242076,25,0.6268088880646231,0.0022480535428781373,25
8,0.6199009580207656,0.0008171428714938595,25,0.6210357230515897,0.0024699746198815673,25
9,0.6145483550383364,0.0008675727098152285,25,0.6158101904903241,0.002685943192629587,25
10,0.6097259409333313,0.0009114429678759872,25,0.6111164629834401,0.0028778789201879523,25
11,0.6053577057488853,0.0009539764794182166,25,0.6068615653311052,0.003066605980715284,25
12,0.601411339114183,0.0010000960110288278,25,0.6030331470727053,0.0032321540330257715,25
13,0.5978094201135055,0.0010361826689592566,25,0.599537464084736,0.0033705539253059387,25
14,0.5945253956234973,0.0010675187910199624,25,0.5963402557443754,0.003498649712933686,25
15,0.59151879008181,0.0011019637590699806,25,0.5934279686612638,0.003617205636296437,25
16,0.5887822977804257,0.0011500526842074697,25,0.5907727829197597,0.00372262713418083,25
17,0.5862684372901384,0.0011858143092026282,25,0.5883420228107848,0.0038220772200833427,25
18,0.5839703790179066,0.0012118407545057103,25,0.5861079414465776,0.003912409501882934,25
19,0.5818831537605542,0.001223885892980072,25,0.5840669274265814,0.0040147955937960686,25
20,0.5799493001899115,0.0012463709499050892,25,0.5821776185982288,0.004106885619515651,25
21,0.5781814609076517,0.001258660756610278,25,0.5804555162466648,0.0041882272610034976,25
22,0.5765656639088425,0.0012810188429060445,25,0.5788506761944092,0.0042482163193362805,25
23,0.575049152448594,0.0013101444539440235,25,0.5773921966469284,0.004307866059024242,25
24,0.5735954978876372,0.0013289140536314676,25,0.5760165966642072,0.004364265790232875,25
25,0.5722665609652928,0.0013177905591739594,25,0.5747299556127351,0.0044361508908943,25
26,0.5710093562502115,0.001320497350670747,25,0.5735147450872617,0.004486543154797268,25
27,0.5698240208413825,0.0013210155019937604,25,0.5723828755134344,0.0045316102021122195,25
28,0.5686722914454713,0.0013208596912257825,25,0.5713235675456132,0.004594213860612386,25
29,0.5675964753374828,0.0013193487222382839,25,0.5703491921457643,0.004654487263488349,25
30,0.5666050959837231,0.0013401984857351582,25,0.5694385653936667,0.004680271172184098,25
31,0.5656583865746998,0.0013239550325515855,25,0.5685335262996456,0.004729556513803449,25
32,0.5647499588271789,0.001340042072836748,25,0.5676909033064071,0.004774103184707793,25
33,0.5639035716445384,0.0013356529477316658,25,0.5669563821650682,0.004801517674830958,25
34,0.5630395282383991,0.00132274192729813,25,0.566194953983669,0.00484860514382663,25
35,0.5622569536772535,0.00135858747677634,25,0.5654836247948082,0.00483909367959949,25
36,0.5615264321272868,0.0013687001716124337,25,0.5648557348301722,0.004839755342620583,25
37,0.5608189316862704,0.0013742245226762498,25,0.5642256974424325,0.004878777425467778,25
38,0.5601070342984275,0.0013569583000464975,25,0.5636167625334438,0.0048704152776004915,25
39,0.559457128253698,0.001362858244458656,25,0.5630583770284809,0.004894611696136342,25
40,0.5587812806573794,0.0013789166384601697,25,0.5625296720665299,0.004888413150752555,25
41,0.5581663789803326,0.0013812484562200202,25,0.5619975780883714,0.004922594600979093,25
42,0.5575742124368593,0.0013955602869943902,25,0.5614855346946481,0.00492936680354399,25
43,0.5569981335138227,0.0013701848290536165,25,0.5610087422662481,0.004956151910184805,25
44,0.5564307499924421,0.0013605325348847062,25,0.560535190477429,0.004962164943798719,25
45,0.5558435885587444,0.001345064149428334,25,0.5600684118898457,0.004971954020951221,25
46,0.5552908899494116,0.0013045285697943128,25,0.5596727415056383,0.004996861299857073,25
47,0.5546983401526046,0.0013256901998192348,25,0.559247288287992,0.005031615675816175,25
48,0.554138547199164,0.0013369507090959204,25,0.558822988470232,0.0050288122228930015,25
49,0.5535821981938593,0.0013028349545936388,25,0.5584201651173728,0.005046432023511764,25
50,0.5530369125074721,0.001332480215364737,25,0.5580242445308394,0.005032033594841744,25
51,0.5524881705580315,0.0013589822684049561,25,0.5576387534646112,0.00501534624100966,25
52,0.5519953338405174,0.0012961419266212908,25,0.557257463856779,0.00508489482403118,25
53,0.5514282275139418,0.0013291124247720456,25,0.5568462708054951,0.005039276147791162,25
54,0.550877686415634,0.0012869936009487597,25,0.5564753012003163,0.005105242628319021,25
55,0.5503175557378142,0.0012942208164740366,25,0.5560727838389693,0.005125358504724308,25
56,0.5497669968110531,0.001287881246023801,25,0.5556596760359023,0.005079438501229027,25
57,0.5492708246791643,0.0012787106352291425,25,0.5553479087922075,0.005061759221627707,25
58,0.548756184844217,0.0012533057027601514,25,0.555004912251102,0.00510887687310763,25
59,0.5482258457271347,0.0012602113295152025,25,0.5546228907542955,0.005064198201110394,25
60,0.5477277300545732,0.0012288610717047868,25,0.5542965683461726,0.005121147484356159,25
61,0.5472517914817439,0.0012129038732659496,25,0.5539735041652482,0.005110964888257623,25
62,0.5468053427876453,0.0012285631885795094,25,0.5536960926245033,0.005087706109231984,25
63,0.5463371397566096,0.0012498822183812112,25,0.5533985221060104,0.005064452078614547,25
64,0.5458778096581873,0.001283012943951158,25,0.5530980391461108,0.005007424926694606,25
65,0.5454335737285672,0.0012877634296946233,25,0.552831108609329,0.005002131030974079,25
66,0.5449815879393969,0.0012588933417215543,25,0.552539259761285,0.00503198627828903,25
67,0.5445672277201645,0.0012797355831547954,25,0.5523129554430288,0.004999523264952498,25
68,0.5441058801314458,0.0012675504757022097,25,0.5520435273578186,0.00502722311208412,25
69,0.543674392707356,0.0012294878581045722,25,0.5517565019321995,0.005015043036724231,25
70,0.5432583892405973,0.0012702011984073484,25,0.5515384647406357,0.005000127967745029,25
71,0.5428607158129715,0.001275727401629697,25,0.5513434199169446,0.004996005066492008,25
72,0.5424669849553944,0.0012583951958059557,25,0.5511278445275516,0.004996433110206014,25
73,0.5420504555810648,0.0012353099334357438,25,0.5508886420215863,0.004995971889716039,25
74,0.5416643370013393,0.001239567246442747,25,0.5506806287924362,0.00497047757114359,25
75,0.5412598321671649,0.001226703766815018,25,0.5504340913559868,0.004982856101319686,25
76,0.5408804677969534,0.001256634541239166,25,0.5502482894134288,0.004966269363190721,25
77,0.5405089616820872,0.0012904281247685062,25,0.5500797607633,0.004925047044693018,25
78,0.5401099773322894,0.0012715655122133211,25,0.5498728766116721,0.004883268069577575,25
79,0.5397317838998191,0.001281377383427564,25,0.5497176907725954,0.004879402864773531,25
80,0.539360814711621,0.0012462753011883488,25,0.549537889123853,0.004894593340107297,25
81,0.5389890846939291,0.0012711154883371675,25,0.549342229516223,0.004905113611452782,25
82,0.5386104705088531,0.0012748417361669612,25,0.5491312060776866,0.004921535714367976,25
83,0.5382384550399704,0.0012992281318973747,25,0.5489659048862915,0.004909745797787899,25
84,0.537859778606263,0.00131405077911967,25,0.5488336720280214,0.004909142946677882,25
85,0.5374522153624239,0.001317300078261022,25,0.5486522540999063,0.004894946894681327,25
86,0.5370590877694607,0.001339020318512443,25,0.5484629793194538,0.0048781989853719405,25
87,0.53667397019166,0.0013363175255258531,25,0.5483059539347043,0.0048662999485403384,25
88,0.5362802195098527,0.0013161636283635656,25,0.5481610743962504,0.004871073294052685,25
89,0.5359077318410345,0.0013401705949737171,25,0.548004041330697,0.0048669670314414925,25
90,0.5355079737272445,0.0013271740910436882,25,0.5478758479349204,0.004894202925580327,25
91,0.5351345404919712,0.0013244321888696959,25,0.5477550623534391,0.004938892364839742,25
92,0.5347855661187162,0.0013657265956155042,25,0.5475981000214325,0.004889338311350504,25
93,0.5344077372756213,0.0013470450764405094,25,0.547442684454014,0.004920879388445757,25
94,0.5340611862712575,0.0013518347985814814,25,0.5473037551246918,0.0049366175469311895,25
95,0.5337253209771068,0.0013716794992402741,25,0.5472209971564569,0.004908926239867366,25
